name,artist,album,spotify_id,duration_ms,explicit,uri,primary_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
99 Red Balloons,Goldfinger,Stomping Ground,0rOTMSSa6yscfOrGnzfheM,229173,False,spotify:track:0rOTMSSa6yscfOrGnzfheM,Unknown,0.285,0.843,4,-7.318,1,0.129,0.00103,0.00037,0.327,0.282,97.051,4
What I Got,Sublime,Sublime,3B4q6KbHbGV51HO3GznBFF,170906,True,spotify:track:3B4q6KbHbGV51HO3GznBFF,Unknown,0.804,0.696,7,-7.47,1,0.0899,0.00877,0.000985,0.314,0.657,95.721,4
Can't Stop,Red Hot Chili Peppers,By the Way (Deluxe Edition),3ZOEytgrvLwQaqXreDs2Jx,269000,False,spotify:track:3ZOEytgrvLwQaqXreDs2Jx,Unknown,0.618,0.938,9,-3.442,1,0.0456,0.0179,0,0.167,0.875,91.455,4
Thank God for Girls,Weezer,Weezer (White Album),5uywMR3hTeVPoWaFDSliJb,210186,False,spotify:track:5uywMR3hTeVPoWaFDSliJb,Unknown,0.559,0.876,4,-6.479,0,0.0495,0.0474,0,0.0734,0.4,95.07,4
King of the World,Weezer,Weezer (White Album),5vBuxtwitUimHR2gBOnJYR,204480,False,spotify:track:5vBuxtwitUimHR2gBOnJYR,Unknown,0.433,0.879,6,-5.395,1,0.067,0.0168,0,0.0688,0.536,79.982,4
Girl Crush,New Politics,Vikings,1Nh3lQFZsnyCmFPCK93avB,174333,False,spotify:track:1Nh3lQFZsnyCmFPCK93avB,Unknown,0.476,0.969,6,-2.696,1,0.122,0.000646,0,0.148,0.703,149.931,4
Slumber Party (feat. Princess Nokia),Ashnikko,DEMIDEVIL,11ZulcYY4lowvcQm4oe3VJ,178404,True,spotify:track:11ZulcYY4lowvcQm4oe3VJ,Unknown,0.964,0.398,11,-8.981,0,0.0795,0.00151,3.95e-05,0.101,0.563,105.012,4
Sugar Daddy,Qveen Herby,EP 8,2ViSWfhT0kvEulXA1HH7Wk,203809,True,spotify:track:2ViSWfhT0kvEulXA1HH7Wk,Unknown,0.953,0.453,10,-7.197,1,0.07,0.0605,0.000159,0.625,0.0368,126.009,4
"break up with your girlfriend, i'm bored",Ariana Grande,"thank u, next",4kV4N9D1iKVxx1KLvtTpjS,190440,True,spotify:track:4kV4N9D1iKVxx1KLvtTpjS,Unknown,0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999,4
Pink Panther,Scene Queen,Bimbocore,32ljWqOxw3ckyuaUc882F6,142018,True,spotify:track:32ljWqOxw3ckyuaUc882F6,Unknown,0.669,0.853,11,-3.98,1,0.0749,0.00357,0.0594,0.132,0.476,109.035,4
